srg,mcp
func_6259_e,setIngameFocus
func_6260_j,isMultiplayerWorld
func_6261_a,changeWorld1
func_6262_n,getEntityDebug
func_6263_a,changeWorld2
func_6264_a,getAppDir
func_6265_t,clickMiddleMouseButton
func_6266_c,shutdownMinecraftApplet
func_6267_r,getOs
func_6268_a,installResource
func_6269_a,startMainThread1
func_627_a,scheduleLightingUpdate_do
func_6270_h,toggleFullscreen
func_6271_a,startGame
func_6272_a,displayGuiScreen
func_6273_f,setIngameNotInFocus
func_6274_a,scaledTessellator
func_628_d,getCloudColour
func_629_a,func_629_a
func_630_d,blockExists
func_632_b,unloadEntities
func_6329_a,getFontRendererFromRenderManager
func_633_c,updateEntities
func_6330_a,preRenderCallback
func_6331_b,renderEquippedItems
func_634_a,setBlock
func_635_c,setBlockMetadata
func_636_a,addLoadedEntities
func_6360_i,removeLeaves
func_6361_f,func_6361_f
func_6362_g,func_6362_g
func_637_a,getEntityPathToXYZ
func_6372_a,addSound
func_6373_b,addStreaming
func_6374_c,addMusic
func_6375_a,setVelocity
func_6376_z,getTexture
func_6377_h,mountEntity
func_6378_b,onCollideWithPlayer
func_6389_d,getLivingSound
func_639_a,saveWorld
func_6390_f,getDeathSound
func_6391_i,getMaxSpawnedInChunk
func_6392_F,onEntityDeath
func_6393_h,getSoundVolume
func_6394_f_,getHurtSound
func_640_a,checkChunksExist
func_641_a,getSavedLightValue
func_6415_a_,useCurrentItemOnEntity
func_6416_v,getCurrentEquippedItem
func_6417_t,getScore
func_6419_n,getPlayerArmorValue
func_642_a,clip
func_6420_o,func_6420_o
func_643_a,setBlockAndMetadata
func_644_f,calculateInitialSkylight
func_6447_a,setWorldAndResolution
func_6448_a,initGui
func_6449_h,onGuiClosed
func_645_a,clip
func_6450_b,doesGuiPauseGame
func_6452_a,func_6452_a
func_646_n,isBlockGettingPowered
func_6464_c,emptyMethod1
func_6465_g,updatingLighting
func_6466_a,canMineBlock
func_6467_a,setPartialTime
func_6468_a,resetBlockRemoving
func_6469_d,shouldDrawHUD
func_647_i,canBlockSeeTheSky
func_6470_c,onPlayerDamageBlock
func_6471_a,sendUseItem
func_6472_b,attackEntity
func_6473_b,func_6473_b
func_6474_c,updateController
func_6475_a,interactWithEntity
func_6476_a,flipPlayer
func_6477_d,canRespawnHere
func_648_a,setWorldTime
func_6480_b,closeTexturePackFile
func_6481_a,getResourceAsStream
func_6482_a,func_6482_a
func_6483_c,bindThumbnailTexture
func_6484_b,unbindThumbnailTexture
func_6485_a,func_6485_a
func_649_g,tick
func_6492_b,truncateString
func_6497_a,handleAttachEntity
func_6498_a,handleEntityVelocity
